"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"13.8","71.7"," CLOSED"," ON","    00:10:38","18.89","19.646365422397","0"
"13.8","71.6"," CLOSED"," ON","    00:10:40","18.89","19.646365422397","0"
"13.8","71.7"," CLOSED"," ON","    00:10:43","18.89","19.646365422397","0"
"13.8","71.7"," CLOSED"," ON","    00:10:46","18.89","19.646365422397","0"
"13.8","71.6"," CLOSED"," ON","    00:10:48","18.89","19.646365422397","0"
"13.8","71.7"," CLOSED"," ON","    00:10:51","18.89","19.646365422397","0"
"13.8","71.8"," CLOSED"," ON","    00:10:53","18.89","19.646365422397","0"
"13.8","71.9"," CLOSED"," ON","    00:10:56","18.89","19.646365422397","0"
"13.8","72"," CLOSED"," ON","    00:10:59","18.89","19.646365422397","0"
"13.8","72.2"," CLOSED"," ON","    00:11:01","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:04","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:06","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:09","18.89","19.646365422397","0"
"13.8","72.2"," CLOSED"," ON","    00:11:11","18.89","19.646365422397","0"
"13.8","72.2"," CLOSED"," ON","    00:11:14","18.89","19.646365422397","0"
"13.8","72.1"," CLOSED"," ON","    00:11:17","18.89","19.646365422397","0"
"13.8","72"," CLOSED"," ON","    00:11:19","18.89","19.646365422397","0"
"13.8","72.1"," CLOSED"," ON","    00:11:22","18.89","19.646365422397","0"
"13.8","72.2"," CLOSED"," ON","    00:11:24","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:27","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:30","18.89","19.646365422397","0"
"13.8","72.4"," CLOSED"," ON","    00:11:32","18.89","19.646365422397","0"
"13.7","72.4"," CLOSED"," ON","    00:11:35","18.89","19.267822736031","0"
"13.8","72.5"," CLOSED"," ON","    00:11:37","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:11:40","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:11:42","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:11:45","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:11:48","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:11:50","18.89","19.646365422397","0"
"13.8","72.4"," CLOSED"," ON","    00:11:53","18.89","19.646365422397","0"
"13.8","72.3"," CLOSED"," ON","    00:11:55","18.89","19.646365422397","0"
"13.8","72.4"," CLOSED"," ON","    00:11:58","18.89","19.646365422397","0"
"13.8","72.5"," CLOSED"," ON","    00:12:01","18.89","19.646365422397","0"
"13.8","72.6"," CLOSED"," ON","    00:12:03","18.89","19.646365422397","0"
"13.8","72.7"," CLOSED"," ON","    00:12:06","18.89","19.646365422397","0"
"13.8","72.8"," CLOSED"," ON","    00:12:08","18.89","19.646365422397","0"
"13.7","72.9"," CLOSED"," ON","    00:12:11","18.89","19.267822736031","0"
"13.8","72.9"," CLOSED"," ON","    00:12:13","18.89","19.646365422397","0"
"13.8","72.7"," CLOSED"," ON","    00:12:16","18.89","19.646365422397","0"
"13.8","72.7"," CLOSED"," ON","    00:12:19","18.89","19.646365422397","0"
"13.8","72.8"," CLOSED"," ON","    00:12:21","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:12:24","18.89","19.646365422397","0"
